"","ID","LHSandRHS","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"50",50,"fxet3=1,hiv3=0,cavitacao=0","encerra2=0",55,1.19223151408451,0.774647887323944,0.0930626057529611,61,1.33879233511586,0.847222222222222,0.10321489001692,62,1.20145583316939,0.794871794871795,0.104906937394247,59,1.1448975571316,0.728395061728395,0.0998307952622673
"51",51,"fxet3=1,hiv3=0,cavitacao=0,bilateral=1","encerra2=0",32,1.26282051282051,0.82051282051282,0.0541455160744501,32,1.48726014469959,0.941176470588235,0.0541455160744501,41,1.3472145001668,0.891304347826087,0.0693739424703892,36,1.2860251450677,0.818181818181818,0.0609137055837563
"59",59,"mumigual=1,alcool=0,comdrogas=0,cavitacao=0","encerra2=0",30,1.21504934210526,0.789473684210526,0.050761421319797,26,1.36951871657754,0.866666666666667,0.0439932318104907,36,1.32717859147901,0.878048780487805,0.0609137055837563,31,1.3169206440483,0.837837837837838,0.0524534686971235
"60",60,"mumigual=1,comdrogas=0,bilateral=0","encerra2=0",45,1.154296875,0.75,0.0761421319796954,51,1.20284938941655,0.761194029850746,0.0862944162436548,52,1.13910819526298,0.753623188405797,0.0879864636209814,47,1.13653846153846,0.723076923076923,0.0795262267343486
"62",62,"raca3=0,alcool=0,comdrogas=0,tipores3=0","encerra2=0",40,1.28255208333333,0.833333333333333,0.0676818950930626,40,1.28997053366801,0.816326530612245,0.0676818950930626,45,1.23668914205999,0.818181818181818,0.0761421319796954,39,1.25103126356926,0.795918367346939,0.065989847715736
"63",63,"raca3=0,comdrogas=0,bilateral=0","encerra2=0",50,1.13166360294118,0.735294117647059,0.0846023688663283,63,1.24441844919786,0.7875,0.106598984771574,66,1.21658037552243,0.804878048780488,0.111675126903553,59,1.22021976483763,0.776315789473684,0.0998307952622673
"64",64,"raca3=0,escol4=0","encerra2=0",88,1.17771739130435,0.765217391304348,0.148900169204738,87,1.27295008912656,0.805555555555556,0.147208121827411,90,1.18292004892694,0.782608695652174,0.152284263959391,82,1.19341016548463,0.759259259259259,0.138747884940778
"65",65,"raca3=0,escol4=0,alcool=0","encerra2=0",83,1.2523743872549,0.813725490196078,0.140439932318105,82,1.33585092893765,0.845360824742268,0.138747884940778,84,1.23268691182678,0.815533980582524,0.142131979695431,79,1.28013270454047,0.814432989690722,0.133671742808799
"66",66,"raca3=0,escol4=0,comdrogas=0","encerra2=0",83,1.22829026442308,0.798076923076923,0.140439932318105,83,1.29859162386827,0.821782178217822,0.140439932318105,82,1.21513464720927,0.803921568627451,0.138747884940778,76,1.23152007019083,0.783505154639175,0.128595600676819
"67",67,"raca3=0,fxet3=1,comdrogas=0","encerra2=0",122,1.1176525297619,0.726190476190476,0.206429780033841,126,1.22151504215741,0.773006134969325,0.213197969543147,133,1.14221983259707,0.755681818181818,0.225042301184433,118,1.15920877659574,0.7375,0.199661590524535
