"","LHSandRHS","count","lift","confidence","support","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y","count.x.1","lift.x.1","confidence.x.1","support.x.1","count.y.1","lift.y.1","confidence.y.1","support.y.1"
"13570","escol4=0,mumigual=1,alcool=0,comtabagis=0,comdrogas=0,ppl=0,pdres5=1,cavitacao=1  encerra2=0",17,1.1031914893617,0.68,0.0557377049180328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13571","fxet3=1,escol4=0,mumigual=1,alcool=0,comtabagis=0,ppl=0,pdres5=1,cavitacao=1  encerra2=0",17,1.14915780141844,0.708333333333333,0.0557377049180328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13572","fxet3=1,escol4=0,mumigual=1,comtabagis=0,comdrogas=0,ppl=0,pdres5=1,cavitacao=1  encerra2=0",16,1.17988394584139,0.727272727272727,0.0524590163934426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13573","fxet3=1,escol4=0,mumigual=1,hiv3=0,alcool=0,comtabagis=0,comdrogas=0,tipores3=1  encerra2=0",11,1.18971631205674,0.733333333333333,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13574","fxet3=1,escol4=0,mumigual=1,alcool=0,comdiab=0,comtabagis=0,comdrogas=0,tipores3=1  encerra2=0",11,1.11535904255319,0.6875,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13575","escol4=0,mumigual=1,hiv3=0,alcool=0,ppl=0,pdres5=1,cavitacao=1,tipores3=1  encerra2=0",11,1.11535904255319,0.6875,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13576","fxet3=1,escol4=0,mumigual=1,hiv3=0,alcool=0,comdiab=0,comdrogas=0,tipores3=1  encerra2=0",10,1.15881458966565,0.714285714285714,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13577","fxet3=1,escol4=0,mumigual=1,hiv3=0,alcool=0,comdrogas=0,ppl=0,tipores3=1  encerra2=0",12,1.21675531914894,0.75,0.039344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13578","fxet3=1,escol4=0,mumigual=1,hiv3=0,alcool=0,comdrogas=0,pdres5=1,tipores3=1  encerra2=0",12,1.21675531914894,0.75,0.039344262295082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13579","escol4=0,mumigual=1,hiv3=0,alcool=0,comdrogas=0,ppl=0,pdres5=1,tipores3=1  encerra2=0",13,1.17169030732861,0.722222222222222,0.0426229508196721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13580","fxet3=1,escol4=0,mumigual=1,hiv3=0,alcool=0,comdiab=0,ppl=0,tipores3=1  encerra2=0",11,1.11535904255319,0.6875,0.0360655737704918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
